index,n_atoms,charge,E_before_hartree,max_force_evA,failure_reason,converged,steps,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,rmsd_A,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
140,7,0,-14.998418517406,2.466187800968413,,True,,-15.011081979532,7.946442458503969,1.1352060655005671,0.6060509740682993,,,,,,,,,,,,,,
141,114,0,-162.754245347911,120.31055158724378,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
142,19,0,-26.963883634991,2.6482896615892724,,True,,-26.994190370123,19.01776342325162,1.000934917013243,0.4783278144496193,,,,,,,,,,,,,,
143,17,0,-23.537574658481,2.5475185966966567,,True,,-23.568987818185,19.712055324518282,1.1595326661481342,0.4933722468560886,,,,,,,,,,,,,,
144,15,0,-18.11700970973,15.633184599629288,,True,,-18.184631361989,42.433227444322696,2.8288818296215132,0.22105819902731147,,,,,,,,,,,,,,
145,3,0,-10.892559776917,2.9022882767443923,,True,,-10.90499090045,7.800647790206339,2.6002159300687797,0.10161316607822408,,,,,,,,,,,,,,
146,101,0,-162.012333391244,34.36268323636236,,False,,-164.486616551689,1552.6361246940253,15.372634897960646,2.241569902774963,,,,,,,,,,,,,,
147,32,0,-42.049670445957,3.942511140602134,,True,,-42.136455887053,54.45868649848821,1.7018339530777566,1.508399237979391,,,,,,,,,,,,,,
148,78,0,-116.409412927021,39.63902461763616,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
149,50,0,-81.245306142489,5.437972265940546,,False,,-81.849066005426,378.86503405200415,7.577300681040083,3.1095788469984744,,,,,,,,,,,,,,
150,11,0,-12.027899038923,2.065338090499712,,True,,-12.042242601607,9.00072147602854,0.8182474069116854,0.4792516485603357,,,,,,,,,,,,,,
151,13,0,-21.803372549082,3.2804050173118475,,True,,-21.847173835057,27.48572192545989,2.1142863019584532,0.3009362114716562,,,,,,,,,,,,,,
152,7,0,-17.420026795101,4.764595872205535,,True,,-17.457397559875,23.450508948670674,3.3500727069529534,0.18495975080740032,,,,,,,,,,,,,,
153,37,0,-38.067667423904,3.0096992219325904,,True,,-38.342646863557,172.5522035548213,4.663573069049224,1.7573980645761191,,,,,,,,,,,,,,
154,13,0,-16.685695837025,3.3485579156458747,,True,,-16.696958738395,7.067577315112899,0.543659793470223,0.32536463592761083,,,,,,,,,,,,,,
155,82,0,-106.266828547187,198.9990473674439,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
156,85,0,-103.403856792471,266.9741296273686,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
157,58,0,-69.79119277557,8.111933582431924,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
158,105,0,-82.854860594942,70.3697832465922,,False,,-93.788481403091,6860.950642926947,65.34238707549473,1.1178593357208813,,,,,,,,,,,,,,
159,97,0,-146.405053494071,92.78056499169064,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
160,99,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
161,26,0,-35.195856224228,3.3706955940398338,,True,,-35.510517297641,197.4528046855217,7.594338641750834,1.7817698733712013,,,,,,,,,,,,,,
162,57,0,-73.069983565661,3.8600207210713258,,False,,-73.469745580532,250.85445170210718,4.4009552930194245,2.485428787963796,,,,,,,,,,,,,,
163,18,0,-25.837714693859,8.763815071547462,,True,,-26.041479771587,127.8645167575244,7.103584264306911,1.3290314109738448,,,,,,,,,,,,,,
164,100,0,-204.034757117108,30.62689236089148,,False,,-206.401732977601,1485.2997773380157,14.852997773380157,3.3207716047301488,,,,,,,,,,,,,,
165,67,0,-82.053691333371,4.287053581449741,,False,,-82.368262587751,197.39644239136268,2.94621555808004,1.934028801047413,,,,,,,,,,,,,,
166,113,0,-173.769210296724,57.83082742869273,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
167,55,0,-80.652129395404,8.329599107431811,,False,,-81.523027105968,546.4965643187701,9.936301169432184,1.939354941751611,,,,,,,,,,,,,,
168,11,0,-15.576851154257,2.875289070622294,,True,,-15.62452909362,29.918358654088518,2.7198507867353197,0.3936484678455394,,,,,,,,,,,,,,
